标题,时间,URL,正文内容
4582935379842046,2020-12-17 09:44:08,[],#王一博演技#。#有翡#痘印刷到了，虽然知道发出来估计会被出警，但是不发又实在太过于意难平。这段我之前就夸过神态表达的非常灵动自然但是我没想到王一博这段的原声台词竟然这么这么好，好到现场杂音过大收音失真都掩盖不了的地步。反正这段剧情已经播出了，我真的觉得这段台词不被看到是遗憾...全文
4582686372407519,2020-12-17 09:44:08,[],#王一博演技##周翡谢允初遇#【赵丽颖王一博主演《有翡》首播1-8集！——来了来了！谢允带着他的超高轻功来了！周翡“翡哥”和谢允“谢公主”初相遇就抱上了！！】今天开始，我们要认识两位不同寻常的男女主角了！周翡和谢允，这两位是拿错剧本那种，男主角谢允（王一博饰）是古灵精...全文
4583057149402366,2020-12-17 09:44:08,[],#有翡原音#王一博的原音真的超级适合谢允这个角色，俏皮深情，网上流出的片段也是比配音演员更加适合谢允这个角色
4583057148872639,2020-12-17 09:44:08,[],#王一博有翡#wyb#王一博谢允#天啦谢允这个斗笠的造型也太好看了吧这是什么样的江湖客有这样的仙姿哦王一博的眼睛是会说话的吧？眼神太到位了@UNIQ-王一博
4583057137599532,2020-12-17 09:44:08,[],#有翡原音#Yibo#有翡#时间是个好东西！它会让人不断进步！不断成长！王一博的台词功底通过时间的积累！已经非常不错了！@UNIQ-王一博
4583057137079348,2020-12-17 09:44:08,[],#有翡原音#wyb#有翡#估计很多粉丝都会铺原音视频那让我也来见缝插针安利王一博的谢允真的可爱又灵动星闻揭秘的微博视频
4583056692740220,2020-12-17 09:44:08,[],#有翡原音#赵丽颖王一博在《有翡》中都用了配音，但其实两人的原音也挺不戳，你觉得他们的配音和原音哪个更适合角色？八鹅吃瓜菌的微博投票
4583054804255918,2020-12-17 09:44:08,[],#王一博有翡原声台词#｜#有翡原音#怎么说呢，原声比配音好太多了，一点也不跳戏，配音真的一言难尽，影响观感娱八婆的微博视频
4583057132628700,2020-12-17 09:44:08,[],王一博的脸也太长了！特别是带上头套之后脸长了简直没法看，根本就不适合古装戏。有些男演员就是这样，明明长得很端庄五官也很好看，可一旦穿上古装味道就完全变了，王一博就是这样的男演员。他本身长相并没有什么毛病，但是穿上古装之后，总是很难让人相信他是生活在那个年代的人。一方面他的脸蛋...全文
4583056285898286,2020-12-17 09:44:08,[],网曝#有翡原音#片段，来听听@赵丽颖@UNIQ-王一博的原声台词可以给几分？浪里追剧的微博视频#赵丽颖王一博原声花絮#
4583057116105972,2020-12-17 09:44:08,[],#王一博有翡#王一博#王一博谢允#💚王一博💚太可了！有翡感觉挺有意思的！期待一博！💚@UNIQ-王一博
