标题,时间,URL,正文内容,情感倾向
4583037822307004,2020-12-17 10:07:33,[],#健康发布#【截至12月16日24时新型冠状病毒肺炎疫情最新情况】12月16日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例7例，均为境外输入病例（上海6例，广东1例）；无新增死亡病例；新增疑似病例1例，为本土病例（在黑龙江）。当日新增治愈出院病例21例，解除医学观察的密切...全文,0
4583039109957300,2020-12-17 10:07:33,[],【#美卫生官员出现史上最大规模离职潮#】美国联邦政府抗击新冠肺炎疫情不力，将疫情“政治化”，四处甩锅，导致目前不到20名美国人中就有一人曾确诊感染新冠病毒，平均每1100名美国人中就有一人死于新冠肺炎。负责防止传染病传播的美国州和地方公共卫生官员也身不由己地被卷入这场“政治风暴”。一方面...全文,1
4583063038465703,2020-12-17 10:07:33,[],#广东最新疫情#12月16日0-24时，全省新增境外输入确诊病例1例，佛山报告，来自美国；新增境外输入无症状感染者3例，均为广州报告，分别来自加拿大、约旦和科特迪瓦。以上均在入境口岸或隔离点发现，入境后即被隔离观察。截至12月16日24时，全省累计报告新冠肺炎确诊病例2022例（境外输入626例）。目...全文,0
4583063022214421,2020-12-17 10:07:33,[],【#四川#省新型冠状病毒肺炎疫情最新情况（12月17日发布）】12月16日0-24时，四川无新增新型冠状病毒肺炎确诊病例，新增治愈出院病例3例，无新增疑似病例，无新增死亡病例。截至12月17日0时，全省累计报告新型冠状病毒肺炎确诊病例838例(其中境外输入285例），累计治愈出院797例，死亡3例，目前在院...全文,0
4583063022210989,2020-12-17 10:07:33,[],横幅提醒只说是二级应急吓他妈死还以为疫情严重了回不去了,1
4583063013296063,2020-12-17 10:07:33,[],#王自健前妻发文#我只知道王自健歪屁股，疫情的时候阴阳怪气，站在方方那边,0
4583062987872660,2020-12-17 10:07:33,[],🐧💛🐧小朋友们有没有好好洗手呀！不管是疫情期间，大家都要好好洗手哦！洗手是预防各种疾病很重要的环节！🍓总回家跟我说，幼儿园的洗手机是自动出泡沫的，很好玩也不用自己按洗手液又方便。所以…这不，老母亲为了让她好好洗手也是尽心尽力安排了,1
4583062942519516,2020-12-17 10:07:33,[],【#成都一民警倒在疫情防控岗位#致敬!】12月10日，成都市公安局成华区分局54岁民警彭志刚为即将深入一线参与疫情流调工作的同事统计发放防疫物资后，突发心脏骤停，倒在了办公室内，最终因抢救无效，不幸牺牲。一路走好！@四川日报遂宁,1
4583062941738308,2020-12-17 10:07:33,[],博君一肖超话为什么？为什么疫情偏偏再次出现在成都？这该死的疫情。真的好想去星光大赏。本来想的是这次砸锅卖铁也要买票去看看，👀这千载难逢的机会，可是没办法！真的好想哭😭实名羡慕可以抢票，抢到票的姐妹们，你们带上我们不能去的姐妹的祝福，大声呐喊吧，最好能在直播的时候，都能...全文,1
4583062938062248,2020-12-17 10:07:33,[],#2021心愿接力#疫情赶快过去！全家人都健健康康！平平安安！整整齐齐！爱你们，么么哒！,1
4583062928626130,2020-12-17 10:07:33,[],【#张伯礼在人民日报撰文#：记住每一个日夜的勇敢】“很多人问我，这次抗击新冠肺炎疫情期间，你印象最深刻的是什么？我每次的回答都关于同一个群体……逆境是青春的财富，‘负重前行’是成长的必经之路。有直面惊涛骇浪的担当，才能拥有乘风破浪的力量。”张伯礼人民日报撰文：记住每一个日夜的勇敢,0
