,词语,重要性
0,疫情,0.4658916036300411
1,病例,0.3498713893010699
2,肺炎,0.2907579736546502
3,新增,0.2488347557510288
4,新冠,0.24598287043004113
5,确诊,0.19915720777555554
6,全文,0.1692165401174897
7,洗手,0.15284867712148148
8,输入,0.14527018770967076
9,报告,0.10721275855102881
10,出院,0.10716446699876543
11,治愈,0.10536668687592593
12,疑似病例,0.10299903943127572
13,张伯礼,0.09839314817201646
14,全省,0.07860474002629629
15,死亡,0.07722567842654321
16,累计,0.07482417644395062
17,入境,0.0747357702581893
18,撰文,0.07284626868090535
19,美国,0.06842133714666666
20,截至,0.06781299997049382
21,隔离,0.06727432020074074
22,姐妹,0.06509640415530864
23,勇敢,0.06311300111465021
24,民警,0.06264166321868313
25,记住,0.06147610345711934
26,成都,0.05488020177613169
27,医学观察,0.05268339655679013
28,广东,0.051339422234650205
29,四川,0.05062134559440329
30,例为,0.04919657408600823
31,例无,0.04919657408600823
32,成华区,0.04919657408600823
33,彭志刚,0.04919657408600823
34,流调,0.04919657408600823
35,博君,0.04919657408600823
36,肖超,0.04919657408600823
37,抢票,0.04919657408600823
38,官员,0.047981658956296296
39,遂宁,0.04772877596296296
40,政治化,0.04554512060864197
41,来自,0.04545470393325103
42,方方,0.04364132010699589
43,平平安安,0.04320773773786008
44,逆境,0.04320773773786008
45,回不去,0.04192224520699588
46,发布,0.04191077393572016
47,前妻,0.04094417256539095
48,感染者,0.040713351714979425
49,小朋友,0.04028725838600823
